"","p53_mock_1","p53_mock_2","p53_mock_3","p53_mock_4","p53_IR_1","p53_IR_2","p53_IR_3","p53_IR_4","null_mock_1","null_mock_2","null_IR_1","null_IR_2"
"ENSMUSG00000018362",11.0075699299458,10.5971655079853,10.8643486324594,10.350185319018,10.9536814388415,10.854248399007,11.3316055347904,11.3297141865183,10.5312666486077,10.545993402653,12.6955291391539,12.2450300161368
"ENSMUSG00000018844",4.33189582103261,4.10146660393616,4.36520381732873,4.89612170965095,4.88160060665504,5.44970971299741,4.69033829260335,4.7507340199163,4.10303130781958,4.48456371671691,6.26468484587579,6.45626761895971
"ENSMUSG00000018846",11.5101239815485,11.5086096511743,11.6634404231413,11.7852950490758,11.3657937554717,11.375386104979,12.0524714930381,11.9384770694674,11.7303984316667,11.7989257594075,13.5802620883093,12.7813060065944
"ENSMUSG00000018848",10.7300959141661,10.4901484818077,10.6247275235531,10.5736525323513,11.3399049451614,11.4581838786994,11.5355674224114,11.6091743692897,10.3740589557517,10.5892716267184,12.65177355857,12.3766757925032
"ENSMUSG00000019312",8.06624252523985,8.3597436834616,7.99485836674989,8.57241738043992,6.55222202529583,6.98748983112293,6.55461467420243,6.79404025169962,8.29207617906693,7.98103585993738,7.69153065985465,7.57850349632391
"ENSMUSG00000019782",9.81794395248465,9.65939612416669,9.82611298747093,9.4094334028482,10.0796860624767,9.94160154452618,10.1303634229417,10.0232011982437,9.68608415715027,9.84522020445647,11.3832949297894,10.9485989647164
"ENSMUSG00000019942",8.21469832188019,7.60375328259214,7.96696253218383,7.25588604983308,6.91487050962063,6.80438067224971,6.76821030523623,6.70879112898513,7.1580991096232,7.33627851030373,7.89159589467837,7.29433137990327
"ENSMUSG00000020089",9.19704074895627,8.58884289196186,9.15895699169242,8.38776812257147,10.4019777839886,10.1575938648965,10.8578665704126,10.8001163461566,8.65887792228139,8.75244631453939,12.4583445136496,11.63246907723
"ENSMUSG00000020116",9.16007523929507,8.82888417921945,9.02196974311501,8.8626053705933,10.486663801323,10.6333570600306,10.9981685585882,10.9855123285385,8.87446911963072,9.0166671568339,11.9543486224113,11.5809040346391
"ENSMUSG00000020142",5.81478777614781,5.5658941392607,5.42894771692633,5.11960429482168,6.83239220758343,7.14995418315299,7.42400170972901,7.18343364742174,4.76906643880886,5.38020158168122,9.86270413921806,9.08818339549588
"ENSMUSG00000020288",9.92815749836059,9.94773038229389,9.88841295797989,9.90475028843374,9.154552727619,9.47394541182018,9.61222516585635,9.21647427683991,9.96103160287932,9.89515624089324,11.9646624352131,10.0741872844035
"ENSMUSG00000020361",12.7505677230012,12.6219273456751,12.7521080201769,12.6518931425729,13.167281058642,13.2417187016334,13.5838255978989,13.5816516156791,12.6410577565792,12.6542590716968,14.8036689055992,14.1847375119792
"ENSMUSG00000020386",9.28476526382474,9.09716512364234,9.38025908339441,9.03487349564111,8.95070188503938,8.94192224177196,9.67854695461169,9.34915725445791,9.20535341251214,9.16706744860627,10.7077471916471,9.90697055059551
"ENSMUSG00000020392",10.4007737097381,10.2396694925578,10.4959544434141,10.085644857928,10.2498130900252,9.97992125443325,10.3840256595657,10.52011316298,10.4073952444346,10.3843422803342,11.7055290299047,11.1176713032189
"ENSMUSG00000020471",9.2065301553957,8.87244676434354,8.78051502034567,8.75009104556079,9.52390915867102,9.58465970387641,9.69525513154523,9.84089557230221,8.77836191764954,8.98958822293793,11.15808185729,10.7543336583801
"ENSMUSG00000020534",9.06242169347483,8.96925181627901,9.05943790223389,9.25503906039626,10.4372883868884,10.5950739156955,10.7972462752065,10.6831907891798,9.14338888499547,9.22520782570929,12.330197268738,11.8563441316219
"ENSMUSG00000020547",10.3897089629596,10.0566511862568,10.4300525584424,9.97437599400102,11.3279135380006,11.3473941887669,11.7861851636957,11.7003291812561,10.0332822755064,10.0061808180424,12.8010546033133,12.4867107456389
"ENSMUSG00000020571",12.1372312110257,11.9490041287281,11.9829248738855,11.4981889940486,12.3275436378162,12.0502012389174,12.5044396924994,12.5869081599494,11.6567644930029,11.637817346398,13.400029862868,12.7762948551002
"ENSMUSG00000020648",7.75314469985342,7.67655720814009,7.80622886162273,7.47399956294252,9.18810662299853,9.23232040838598,9.50258743374842,9.28286659593485,7.56497087189755,7.54004993693029,10.8364255647553,9.97969185228124
"ENSMUSG00000020738",12.0601609970505,11.8839764638486,12.0274973730394,11.8082232267658,12.5509582462517,12.4566728208277,13.0359507309355,12.8074589846916,11.8092125568631,12.0215425900275,14.0885227352492,13.5020787485961
