"","1: upregulation, -1: downregulation","Symbol","wt-null","IR-mock","I:p53_wt-Treatment_IR","wt-null_for_IR","IR-mock_for_wt","p53_mock_1","p53_mock_2","p53_mock_3","p53_mock_4","p53_IR_1","p53_IR_2","p53_IR_3","p53_IR_4","null_mock_1","null_mock_2","null_IR_1","null_IR_2"
"26","ENSMUSG00000000884","Gnb1l",0,1,1,1,1,6.43679384087141,6.52807771047951,6.44369096759354,6.30078567806576,9.75417033272834,9.96362299125871,10.3736830086539,10.4244276160033,6.82468300786588,6.79204071111105,8.68949352084808,8.19000466228854
"27","ENSMUSG00000000903","Vpreb3",0,-1,0,-1,-1,9.47082608348458,9.38976016925467,9.25666781748667,10.0050524431089,7.19124957018174,7.34711616119276,7.74149345247206,7.97914378963564,9.87666359777596,10.2372209128637,9.05955055025321,8.55710881226678
"28","ENSMUSG00000000916","Nsun5",0,1,-1,-1,0,9.12547643161469,9.11943359896889,9.08041933515722,9.19285385679627,9.76532841801288,9.9164188613402,10.2595561755225,10.2468186273391,9.2917948767004,9.18236731409886,11.4328704702361,10.8891833827046
"29","ENSMUSG00000000934","Top1mt",0,1,0,0,1,7.59835513494063,7.53312409061382,7.46702820420902,7.46044096877201,9.94289440889803,9.88214323454887,9.95316508952024,10.1913318774747,7.47978026571967,7.5195440012217,9.95994238457027,9.79778835947441
"30","ENSMUSG00000001025","S100a6",0,0,0,1,0,8.15059595670381,7.64898876096995,7.86786707076086,7.70426459734694,7.36560553890226,7.72775656480355,8.18174357742257,8.07082308824746,7.63418988381683,7.91453302996537,6.03340479660465,7.29433137990327
"31","ENSMUSG00000001027","Scn4a",0,-1,0,0,-1,9.91181436620561,10.0918870049686,9.88841295797989,10.2824500134347,8.68059894404038,9.16263739648091,8.74180010684215,8.97132805563681,10.0396745775921,10.2549028960768,8.50733501400086,8.60613101461648
"32","ENSMUSG00000001082","Mfsd10",0,-1,0,0,-1,9.42006858105262,9.36794307149552,9.20983011487813,9.18669120985915,8.03049547861565,7.93143280341703,8.0394441480289,8.38295930384647,9.30600597778224,9.3504628092621,7.91220497286985,7.97823569118867
"33","ENSMUSG00000001105","Ift20",0,1,0,0,0,9.49684012858574,9.33198789603298,9.43626538719031,9.22528396615877,9.58815570531518,9.4390036896778,10.0948243451972,10.1802904806956,9.34609999956721,9.49401054386717,11.0137685573584,10.4071977217818
"34","ENSMUSG00000001119","Col6a1",0,0,0,0,1,3.29424104394473,3.73265101935907,3.30188115193445,3.02813852080964,5.22976458558157,4.63212811734401,4.34794497592765,3.69089292593744,4.68456941817289,3.85864052844992,2.65024692605558,4.69871200905184
"35","ENSMUSG00000001131","Timp1",0,1,0,0,1,3.38618520986921,3.11215945960192,3.9748974915766,2,5.00722508954011,5.62575454039284,3.89814012030967,4.52994478167843,2.47277657087413,3.34040099177954,4.54602091970648,4.69871200905184
"36","ENSMUSG00000001134","Uxt",0,1,0,0,0,8.47239537478091,8.23920243511532,8.43848980936194,8.28767221006058,8.95850061635232,9.07936746223391,9.60970927523645,9.52154000654792,8.3853735140296,8.55164777905603,10.069505041251,9.91914612717456
"37","ENSMUSG00000001166","Oas1c",0,-1,0,0,0,8.87479379538909,8.85324782102299,8.95822069002371,8.82077083185132,8.33607867240899,8.07995038911204,8.8650569761557,8.93049164471924,9.03451776340488,9.20180312179604,8.20169640759243,7.99673701343516
"38","ENSMUSG00000001227","Sema6b",0,-1,0,0,0,6.11270405957592,5.76393968362399,6.25357476837078,5.93956493536303,6.06665405849478,6.01127389738397,5.61473461266845,4.81741067465344,6.26495338447532,6.61005213984927,4.91619440315071,5.50769245630177
"39","ENSMUSG00000001228","Uhrf1",0,1,-1,-1,0,10.0924211554515,9.50342138127886,9.86139243191637,9.5600579903973,9.53959126715257,9.04879163616055,9.38686910174874,9.46547043400392,9.32880455885781,9.44953806085402,11.4709924894768,11.0010893784788
"40","ENSMUSG00000001270","Ckb",0,0,0,1,0,8.99283312841661,8.5713259117823,9.22404177670318,8.85744191514965,8.91907842288249,8.87958469208079,9.03969358778517,8.5093425029573,8.50723084138758,8.2200670048669,7.00154579187542,7.70202884432008
"41","ENSMUSG00000001281","Itgb7",0,-1,0,0,-1,11.7146067389859,11.931662006818,11.7404341389004,11.8095606622257,9.26244167104512,9.36647409907619,8.89842200767854,9.08394707741452,11.8525182407099,11.5717139454188,9.32078128115703,9.46557503484222
"42","ENSMUSG00000001285","Myg1",0,1,-1,-1,0,9.38984522981514,9.25727221873951,9.34167598464206,9.32217016704141,9.31502351575789,9.25481969020574,9.65189393169986,9.80232076804416,9.28463648477757,9.48874566667552,10.791708822814,10.3561676482269
"43","ENSMUSG00000001288","Rarg",0,0,1,1,1,7.01386425289288,7.43967880948801,7.03353459314661,6.75407397938152,8.85367277536023,9.00167743829316,8.8565937414457,9.20717934841429,7.24179782219266,6.32504580087092,5.63095707451774,6.96850187359644
"44","ENSMUSG00000001305","Rrp15",0,1,0,0,1,9.3432888202392,9.17267817569757,9.35249742509511,9.35368302799508,10.9060824984561,11.2677690395677,11.5189035790993,11.5299997869722,9.26658355155798,9.49576124194788,12.3356113478103,12.0972101927604
"45","ENSMUSG00000001348","Acp5",0,-1,0,0,-1,11.8190813748444,11.7067965507764,11.7922232355463,11.8058797271533,10.8241529697443,10.5915427244933,10.3131160430603,10.2300896195482,11.4702035489887,11.6746051289459,9.81971628511177,10.1139241115545
"46","ENSMUSG00000001380","Hars",0,1,0,0,0,10.4246859940897,10.3020644693465,10.380159499601,10.2404261487362,11.0025915958352,10.9702791226196,11.290569457323,11.4389656572503,10.3023266695169,10.3710504327727,12.135066392878,11.7972118693932
"47","ENSMUSG00000001420","Tmem79",0,1,0,0,1,5.54244576365199,5.19090369290179,5.32729351145767,5.66005935927885,6.74491120654133,6.89883836722744,7.24103435653828,7.35034864540391,5.22299342061509,5.79850676097251,7.38248502287956,7.32393891025837
"48","ENSMUSG00000001440","Kpnb1",0,1,-1,-1,0,12.9821746166933,12.8701394191981,12.9149989119176,12.8927059251924,13.3122220067641,13.3520068937929,13.7272319237285,13.7931460270946,12.8389666461512,12.9323172170692,14.8067679578189,14.4620218247421
"49","ENSMUSG00000001467","Cyp51",0,1,-1,-1,0,10.0251930632616,9.78375615122768,10.3163701644382,10.4521812366947,10.636375214342,10.7021005103974,10.9201090446357,11.0292434155075,10.1609330716927,10.4678767586262,12.7934371707214,12.5387331400328
"50","ENSMUSG00000001496","Nkx2-1",0,0,0,1,1,4.18602675685756,4.16513023196165,4.22149164331304,5.28257114250309,5.88216212039286,7.02985305117588,4.52927536635281,4.81741067465344,4.39658575581646,3.85864052844992,3.94380281537096,3.78282240259426
"51","ENSMUSG00000001524","Gtf2h4",0,1,0,0,1,8.39427577937187,8.18264329484266,8.10134165815141,8.25662950050228,9.20131267902673,9.20946467692407,9.51339553915402,9.6228841759566,8.18849543939745,8.30639098627794,10.2231108942777,9.89345765493507
"52","ENSMUSG00000001525","Tubb5",0,1,-1,-1,0,13.801277935028,13.4670329221123,13.6237609438761,13.3470027247375,13.4817880508053,13.0610569264579,13.4295763570417,13.8001179888391,13.4292562003729,13.5581945939376,14.9400150361839,14.4179769925696
"53","ENSMUSG00000001552","Jup",0,-1,0,0,0,9.3828870790243,9.54290127813062,9.56465975504831,10.1577779218465,9.21439894593466,8.99634627288736,8.6663314154043,8.56861105204256,9.30777256298675,9.25858723629567,7.45918495431601,8.37108941173579
"54","ENSMUSG00000001555","Fkbp10",0,0,1,1,1,3.77433336701949,4.03486339281222,3.30188115193445,4.24543731181389,5.81502119074005,5.7826348718932,6.14607334627176,6.32926591338786,3.89314644966412,4.59321678415303,4.39801536353748,5.1916610309355
"55","ENSMUSG00000001576","Ergic1",0,1,0,0,1,9.96123319134213,9.85787303378629,9.72147670308831,9.76283620920002,11.8182811424767,11.8228818719186,12.2628425338456,12.3328725015038,9.69285956410673,9.85480108272222,12.1107539127324,11.6833256961726
"56","ENSMUSG00000001588","Acap1",0,0,0,0,-1,12.9586178923097,13.1414286946934,12.967328835065,13.0822359385768,11.7333267514826,11.8504746106865,11.7107159855698,12.0405649319524,13.2096868928394,13.0930273550391,12.6379199155992,12.1407522881611
"57","ENSMUSG00000001604","Tcea3",0,-1,0,0,-1,5.39531095536084,5.19090369290179,5.36198021952312,5.21957580335362,5.17726448371536,4.25742716836709,3.75975590771016,3.82657128666367,5.03102263384886,5.15055523843524,3.94380281537096,3.69491197914412
"58","ENSMUSG00000001627","Ifrd1",0,1,0,0,1,9.5096733370955,9.56372050307204,9.49799700490837,9.57113974008317,10.6688241636138,11.0197272230892,11.2467135503903,10.9855123285385,9.59787047296007,9.69787384349853,12.0446214005501,11.5896906958862
